"Taxon Name", "Synonym", "Name According to"
"Chenopodium glaucum var. salinum", "Oxybasis salina (Standley) Uotila", "Kurtto, A. & P. Uotila. 2019. New combinations in the vascular flora of Finland, in the genera Spinulum, Oxybasis and Potentilla. Memoranda Societas Fauna Flora Fennica 95: 36-39"
"Chenopodium murale", "Chenopodiastrum murale (Linnaeus) S. Fuentes, Uotila & Borsch", "Fuentes-Bazan S., P. Uotila & T. Borsch. 2012. A novel phylogeny-based generic classification for Chenopodium sensu lato, and a tribal rearrangement of Chenopodioideae (Chenopodiaceae). Willdenowia 42: 5 – 24"
"Chenopodium polyspermum", "Lipandra polysperma (Linnaeus) S. Fuentes, Uotila & Borsch var. polysperma", ""
"Chenopodium polyspermum var. acutifolium", "Lipandra polysperma var. acutifolia (Smith) Mosyakin", "Mosyakin, S.L. 2013. New nomenclatural combinations in Blitum, Oxybasis, Chenopodiastrum, and Lipandra (Chenopodiaceae). Phytoneuron 2013-56: 1–8."
"Chenopodium rubrum", "Oxybasis rubra (Linnaeus) S. Fuentes, Uotila & Borsch var. rubra", "Mosyakin, S.L. 2013. New nomenclatural combinations in Blitum, Oxybasis, Chenopodiastrum, and Lipandra (Chenopodiaceae). Phytoneuron 2013-56: 1–8."
"Chenopodium rubrum var. rubrum", "Oxybasis rubra (Linnaeus) S. Fuentes, Uotila & Borsch var. rubra", "Mosyakin, S.L. 2013. New nomenclatural combinations in Blitum, Oxybasis, Chenopodiastrum, and Lipandra (Chenopodiaceae). Phytoneuron 2013-56: 1–8."
"Chenopodium simplex", "Chenopodiastrum simplex (Torrey) S. Fuentes, Uotila & Borsch", "Fuentes-Bazan S., P. Uotila & T. Borsch. 2012. A novel phylogeny-based generic classification for Chenopodium sensu lato, and a tribal rearrangement of Chenopodioideae (Chenopodiaceae). Willdenowia 42: 5 – 24"
"Chenopodium urbicum", "Oxybasis urbica (Linnaeus) S. Fuentes, Uotila & Borsch", "Fuentes-Bazan S., P. Uotila & T. Borsch. 2012. A novel phylogeny-based generic classification for Chenopodium sensu lato, and a tribal rearrangement of Chenopodioideae (Chenopodiaceae). Willdenowia 42: 5 – 24"
"Cimicifuga racemosa", "Actaea racemosa Linnaeus", "Compton, J.A., A. Culham & S.L. Jury. 1998. Reclassification of Actaea to include Cimicifuga and Souliea (Ranunculaceae): Phylogeny inferred from morphology, nrDNA ITS' and cpDNA trnL-F sequence variation. Taxon 47: 593-634."
"Conringia orientalis", "Conringia orientalis (Linnaeus) C. Presl", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Conringia orientalis", "Conringia orientalis (Linnaeus) C. Presl", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Consolida ajacis", "Delphinium ajacis Linnaeus", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Consolida regalis", "Delphinium consolida Linnaeus", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Conyza canadensis", "Erigeron canadensis Linnaeus", "Global Biodiversity Information Facility (GBIF). GBIF Secretariat. Copenhagen, Denmark. consulted 13Dec2016"
"Corydalis sempervirens", "Capnoides sempervirens (Linnaeus) Borkhausen", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York."
"Crataegus douglasii", "Crataegus intricata Lange", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York."
