"Taxon Name", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Allium textile", "yes", "1", "1", "Allium textile A. Nelson & J.F. Macbride", "A. Nelson & J.F. Macbride", "Allium textile", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Amaryllidaceae;Allioideae;Allieae;Allium"
"Almutaster pauciflorus", "yes", "1", "1", "Almutaster pauciflorus (Nuttall) Á. Löve & D. Löve", "(Nuttall) Á. Löve & D. Löve", "Almutaster pauciflorus", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Astereae;Almutaster"
"Alnus incana", "yes", "1", "1", "Alnus incana (Linnaeus) Moench", "(Linnaeus) Moench", "Alnus incana", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Fagales;Betulaceae;Betuloideae;Alnus"
"Alnus incana subsp. tenuifolia", "yes", "1", "1", "Alnus incana subsp. tenuifolia (Nuttall) Breitung", "(Nuttall) Breitung", "Alnus incana subsp. tenuifolia", "subspecies", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Fagales;Betulaceae;Betuloideae;Alnus;Alnus incana"
"Alnus viridis", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Alnus viridis subsp. crispa", "yes", "1", "1", "Alnus alnobetula subsp. crispa (Aiton) Raus", "(Aiton) Turrill", "Alnus viridis subsp. crispa", "subspecies", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "synonym", "NULL"
"Alnus viridis subsp. fruticosa", "yes", "1", "1", "Alnus alnobetula subsp. fruticosa (Ruprecht) Raus", "(Ruprecht) Nyman", "Alnus viridis subsp. fruticosa", "subspecies", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "synonym", "NULL"
"Alnus viridis subsp. sinuata", "yes", "1", "1", "Alnus alnobetula subsp. sinuata (Regel) Raus", "(Regel) Á. Löve & D. Löve", "Alnus viridis subsp. sinuata", "subspecies", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "synonym", "NULL"
"Aloina brevirostris", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Aloina rigida var. rigida", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
