"Taxon Name", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Chenopodium urbicum", "yes", "1", "1", "Oxybasis urbica (Linnaeus) S. Fuentes, Uotila & Borsch", "Linnaeus", "Chenopodium urbicum", "species", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 4: Magnoliophyta: Caryophyllidae, part 1. Oxford University Press, New York.", "synonym", "NULL"
"Clethra alnifolia", "yes", "1", "1", "Clethra alnifolia Linnaeus", "Linnaeus", "Clethra alnifolia", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Clethraceae;Clethra"
"Climacium americanum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Corema conradii", "yes", "1", "1", "Corema conradii (Torrey) Torrey ex Loudon", "(Torrey) Torrey ex Loudon", "Corema conradii", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Ericaceae;Ericoideae;Empetreae;Corema"
"Coreopsis rosea", "yes", "1", "1", "Coreopsis rosea Nuttall", "Nuttall", "Coreopsis rosea", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Coreopsideae;Coreopsis;Coreopsis sect. Eublepharis"
"Crocanthemum canadense", "yes", "1", "1", "Crocanthemum canadense (Linnaeus) Britton", "(Linnaeus) Britton", "Crocanthemum canadense", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malvales;Cistaceae;Hudsonieae;Crocanthemum"
"Danthonia compressa", "yes", "1", "1", "Danthonia compressa Austin", "Austin", "Danthonia compressa", "species", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Danthonioideae;Danthonieae;Danthonia"
"Dianthus plumarius subsp. plumarius", "yes", "1", "1", "Dianthus plumarius Linnaeus subsp. plumarius", "Linnaeus", "Dianthus plumarius subsp. plumarius", "subspecies", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Caryophyllaceae;Caryophylleae;Dianthus;Dianthus plumarius"
"Dichanthelium clandestinum", "yes", "1", "1", "Dichanthelium clandestinum (Linnaeus) Gould", "(Linnaeus) Gould", "Dichanthelium clandestinum", "species", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Panicoideae;Paniceae;Panicinae;Dichanthelium;Dichanthelium sect. Clandestina"
"Dicranum spurium", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Diplotaxis tenuifolia", "yes", "1", "1", "Diplotaxis tenuifolia (Linnaeus) de Candolle", "(Linnaeus) de Candolle", "Diplotaxis tenuifolia", "species", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Brassicales;Brassicaceae;Brassiceae;Diplotaxis"
"Ditrichum rhynchostegium", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Drosera filiformis", "yes", "1", "1", "Drosera filiformis Rafinesque", "Rafinesque", "Drosera filiformis", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Droseraceae;Drosera"
"Eleocharis fallax", "yes", "1", "1", "Eleocharis fallax Weatherby", "Weatherby", "Eleocharis fallax", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Cyperoideae;Eleocharideae;Eleocharis;Eleocharis subg. Eleocharis;Eleocharis sect. Eleocharis;Eleocharis ser. Eleocharis"
"Eleocharis tenuis var. pseudoptera", "yes", "1", "1", "Eleocharis tenuis var. pseudoptera (Weatherby) Svenson", "(Weatherby) Svenson", "Eleocharis tenuis var. pseudoptera", "variety", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Cyperoideae;Eleocharideae;Eleocharis;Eleocharis subg. Eleocharis;Eleocharis sect. Eleocharis;Eleocharis ser. Eleocharis;Eleocharis tenuis"
"Eleocharis tuberculosa", "yes", "1", "1", "Eleocharis tuberculosa (Michaux) Roemer & Schultes", "(Michaux) Roemer & Schultes", "Eleocharis tuberculosa", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Cyperoideae;Eleocharideae;Eleocharis;Eleocharis subg. Eleocharis;Eleocharis sect. Eleocharis;Eleocharis ser. Tenuissimae"
"Elymus macgregorii", "yes", "1", "1", "Elymus macgregorii R.E. Brooks & J.J.N. Campbell", "R.E. Brooks & J.J.N. Campbell", "Elymus macgregorii", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Elymus"
"Elymus virginicus var. halophilus", "yes", "1", "1", "Elymus virginicus var. halophilus (E.P.  Bicknell) Wiegand", "(E.P.  Bicknell) Wiegand", "Elymus virginicus var. halophilus", "variety", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Elymus;Elymus virginicus"
"Ephemerum cohaerens", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Erica tetralix", "yes", "1", "1", "Erica tetralix Linnaeus", "Linnaeus", "Erica tetralix", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Ericaceae;Ericoideae;Ericeae;Erica"
"Euphrasia micrantha", "yes", "1", "1", "Euphrasia micrantha Reichenbach", "Reichenbach", "Euphrasia micrantha", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Rhinantheae;Euphrasia;Euphrasia sect. Euphrasia"
"Euphrasia tetraquetra", "yes", "1", "1", "Euphrasia tetraquetra (Brébisson) Arrondeau", "(Brébisson) Arrondeau", "Euphrasia tetraquetra", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Rhinantheae;Euphrasia;Euphrasia sect. Euphrasia"
"Euthamia caroliniana", "yes", "1", "1", "Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton", "(Linnaeus) Greene ex Porter & Britton", "Euthamia caroliniana", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Astereae;Euthamia"
"Eutrochium dubium", "yes", "1", "1", "Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont", "(Willdenow ex Poiret) E.E. Lamont", "Eutrochium dubium", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Eupatorieae;Eutrochium"
"Filipendula vulgaris", "yes", "1", "1", "Filipendula vulgaris Moench", "Moench", "Filipendula vulgaris", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Ulmarieae;Filipendula"
"Fissidens taxifolius", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fontinalis sullivantii", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Geum peckii", "yes", "1", "1", "Geum peckii Pursh", "Pursh", "Geum peckii", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Colurieae;Geum"
"Glyceria fluitans", "yes", "1", "1", "Glyceria fluitans (Linnaeus) R. Brown", "(Linnaeus) R. Brown", "Glyceria fluitans", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Meliceae;Glyceria;Glyceria sect. Glyceria"
"Goodyera pubescens", "yes", "1", "1", "Goodyera pubescens (Willdenow) R. Brown", "(Willdenow) R. Brown", "Goodyera pubescens", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Orchidaceae;Orchidoideae;Cranichideae;Goodyerinae;Goodyera"
"Grimmia olneyi", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Grimmia pilifera", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Gyroweisia tenuis", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Helenium flexuosum", "yes", "1", "1", "Helenium flexuosum Rafinesque", "Rafinesque", "Helenium flexuosum", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Helenieae;Helenium"
"Hieracium lactucella", "yes", "1", "1", "Pilosella lactucella (Wallroth) P.D. Sell & C. West", "Wallroth", "Hieracium lactucella", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "synonym", "NULL"
"Hudsonia ericoides", "yes", "1", "1", "Hudsonia ericoides Linnaeus", "Linnaeus", "Hudsonia ericoides", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malvales;Cistaceae;Hudsonieae;Hudsonia"
"Huperzia appalachiana", "yes", "1", "1", "Huperzia appressa (Desvaux) Á. Löve & D. Löve", "Beitel & Mickel", "Huperzia appalachiana", "species", "", "synonym", "NULL"
"Hypericum gentianoides", "yes", "1", "1", "Hypericum gentianoides (Linnaeus) Britton, Sterns & Poggenburgh", "(Linnaeus) Britton, Sterns & Poggenburgh", "Hypericum gentianoides", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Brathys"
"Hypericum punctatum", "yes", "1", "1", "Hypericum punctatum Lamarck", "Lamarck", "Hypericum punctatum", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Hypericum"
"Hypnum andoi", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hypnum jutlandicum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Iberis amara", "yes", "1", "1", "Iberis amara Linnaeus", "Linnaeus", "Iberis amara", "species", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Brassicales;Brassicaceae;Iberideae;Iberis"
"Iberis umbellata", "yes", "1", "1", "Iberis umbellata Linnaeus", "Linnaeus", "Iberis umbellata", "species", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Brassicales;Brassicaceae;Iberideae;Iberis"
"Isopterygium tenerum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Isothecium myosuroides", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Iva frutescens", "yes", "1", "1", "Iva frutescens Linnaeus", "Linnaeus", "Iva frutescens", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Heliantheae;Iva"
"Juncus caesariensis", "yes", "1", "1", "Juncus caesariensis Coville", "Coville", "Juncus caesariensis", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Ozophyllum"
"Juncus marginatus", "yes", "1", "1", "Juncus marginatus Rostkovius", "Rostkovius", "Juncus marginatus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Graminifolii"
"Juncus secundus", "yes", "1", "1", "Juncus secundus P. Beauvois ex Poiret", "P. Beauvois ex Poiret", "Juncus secundus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Agathryon;Juncus sect. Steirochloa"
"Juncus subcaudatus", "yes", "1", "1", "Juncus subcaudatus (Engelmann) Coville & S.F. Blake", "(Engelmann) Coville & S.F. Blake", "Juncus subcaudatus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Ozophyllum"
"Juniperus communis var. megistocarpa", "yes", "1", "1", "Juniperus communis var. megistocarpa Fernald & H. St.John", "Fernald & H. St.John", "Juniperus communis var. megistocarpa", "variety", "Adams, R.P. 2008. Junipers of the World: The genus Juniperus. 2nd ed. Trafford Publ., Vancouver.", "accepted", "Equisetopsida;Pinidae;Cupressales;Cupressaceae;Juniperus;Juniperus communis"
"Kerria japonica", "yes", "1", "1", "Kerria japonica (Linnaeus) de Candolle", "(Linnaeus) de Candolle", "Kerria japonica", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Amygdaloideae;Kerrieae;Kerria"
"Lachnanthes caroliniana", "yes", "1", "1", "Lachnanthes caroliniana (Lamarck) Dandy", "(Lamarck) Dandy", "Lachnanthes caroliniana", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Commelinales;Haemodoraceae;Haemodoroideae;Lachnanthes"
"Lactuca hirsuta", "yes", "1", "1", "Lactuca hirsuta Muhlenberg ex Nuttall", "Muhlenberg ex Nuttall", "Lactuca hirsuta", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Cichorioideae;Cichorieae;Lactuca"
"Leucojum aestivum", "yes", "1", "1", "Leucojum aestivum Linnaeus", "Linnaeus", "Leucojum aestivum", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Amaryllidaceae;Amaryllidoideae;Leucojum"
"Lophiola aurea", "yes", "1", "1", "Lophiola aurea Ker Gawler", "Ker Gawler", "Lophiola aurea", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Dioscoreales;Nartheciaceae;Lophiola"
"Luzula luzuloides", "yes", "1", "1", "Luzula luzuloides (Lamarck) Dandy & Wilmott", "(Lamarck) Dandy & Wilmott", "Luzula luzuloides", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Luzula;Luzula subg. Luzula;Luzula sect. Anthelaea"
"Luzula luzuloides subsp. luzuloides", "yes", "1", "1", "Luzula luzuloides (Lamarck) Dandy & Wilmott subsp. luzuloides", "(Lamarck) Dandy & Wilmott", "Luzula luzuloides subsp. luzuloides", "subspecies", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Luzula;Luzula subg. Luzula;Luzula sect. Anthelaea;Luzula luzuloides"
"Malaxis bayardii", "yes", "1", "1", "Malaxis bayardii Fernald", "Fernald", "Malaxis bayardii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Orchidaceae;Epidendroideae;Malaxideae;Malaxidinae;Malaxis"
"Molinia", "yes", "1", "1", "Molinia Schrank", "Schrank", "Molinia", "genus", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Arundinoideae;Arundineae"
"Molinia caerulea", "yes", "1", "1", "Molinia caerulea (Linnaeus) Moench", "(Linnaeus) Moench", "Molinia caerulea", "species", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Arundinoideae;Arundineae;Molinia"
"Nardus", "yes", "1", "1", "Nardus Linnaeus", "Linnaeus", "Nardus", "genus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Nardeae"
"Nardus stricta", "yes", "1", "1", "Nardus stricta Linnaeus", "Linnaeus", "Nardus stricta", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Nardeae;Nardus"
"Pedicularis palustris", "yes", "1", "1", "Pedicularis palustris Linnaeus", "Linnaeus", "Pedicularis palustris", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Castillejeae;Pedicularis"
"Pedicularis palustris subsp. palustris", "yes", "1", "1", "Pedicularis palustris Linnaeus subsp. palustris", "Linnaeus", "Pedicularis palustris subsp. palustris", "subspecies", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Castillejeae;Pedicularis;Pedicularis palustris"
"Persicaria robustior", "yes", "1", "1", "Persicaria robustior (Small) E.P. Bicknell", "(Small) E.P. Bicknell", "Persicaria robustior", "species", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Polygonaceae;Polygonoideae;Persicarieae;Persicaria;Persicaria sect. Persicaria"
"Phedimus spurius", "yes", "1", "1", "Phedimus spurius (M. von Bieberstein) ‘t Hart", "(M. von Bieberstein) ‘t Hart", "Phedimus spurius", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Saxifraganae;Saxifragales;Crassulaceae;Sempervivoideae;Sedeae;Phedimus"
"Physcomitrium collenchymatum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Plantago aristata", "yes", "1", "1", "Plantago aristata Michaux", "Michaux", "Plantago aristata", "species", "", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Plantaginaceae;Plantagineae;Plantago"
"Platanthera flava var. flava", "yes", "1", "1", "Platanthera flava (Linnaeus) Lindley var. flava", "(Linnaeus) Lindley", "Platanthera flava var. flava", "variety", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Orchidaceae;Orchidoideae;Orchideae;Orchidinae;Platanthera;Platanthera flava"
"Polygonum oxyspermum subsp. oxyspermum", "yes", "1", "1", "Polygonum oxyspermum C.A. Meyer & Bunge subsp. oxyspermum", "C.A. Meyer & Bunge", "Polygonum oxyspermum subsp. oxyspermum", "subspecies", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Polygonaceae;Polygonoideae;Polygoneae;Polygonum;Polygonum sect. Polygonum;Polygonum oxyspermum"
"Potamogeton oblongus", "yes", "1", "1", "Potamogeton polygonifolius Pourret", "Viviani", "Potamogeton oblongus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "synonym", "NULL"
"Potentilla canadensis", "yes", "1", "1", "Potentilla canadensis Linnaeus", "Linnaeus", "Potentilla canadensis", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Potentilleae;Potentilla;Potentilla sect. Potentilla"
"Potentilla erecta", "yes", "1", "1", "Potentilla erecta (Linnaeus) Raeuschel", "(Linnaeus) Raeuschel", "Potentilla erecta", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Potentilleae;Potentilla;Potentilla sect. Potentilla"
"Potentilla reptans", "yes", "1", "1", "Potentilla reptans Linnaeus", "Linnaeus", "Potentilla reptans", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Potentilleae;Potentilla;Potentilla sect. Potentilla"
"Prunus persica", "yes", "1", "1", "Prunus persica (Linnaeus) Batsch", "(Linnaeus) Batsch", "Prunus persica", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Amygdaloideae;Amygdaleae;Prunus"
