"","Volume","Taxon name"
"Arctanthemum arcticum","Volume 19","Arctanthemum arcticum"
"Arctanthemum arcticum subsp. polare","Volume 19","Arctanthemum arcticum subsp. polare"
"Arctium lappa","Volume 19","Arctium lappa"
"Arctium minus","Volume 19","Arctium minus"
"Arctium tomentosum","Volume 19","Arctium tomentosum"
"Arctoa fulvella","Volume 27","Arctoa fulvella"
"Arctophila","Volume 24","Arctophila"
"Arctophila fulva","Volume 24","Arctophila fulva"
"Arctostaphylos uva-ursi","Volume 8","Arctostaphylos uva-ursi"
"Arctous alpina","Volume 8","Arctous alpina"
"Arctous rubra","Volume 8","Arctous rubra"
"Arenaria humifusa","Volume 5","Arenaria humifusa"
"Arenaria serpyllifolia","Volume 5","Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia","Volume 5","Arenaria serpyllifolia var. serpyllifolia"
"Arethusa bulbosa","Volume 26","Arethusa bulbosa"
"Arisaema dracontium","Volume 22","Arisaema dracontium"
"Arisaema triphyllum","Volume 22","Arisaema triphyllum"
"Aristida","Volume 25","Aristida"
"Aristida basiramea","Volume 25","Aristida basiramea"
"Aristolochia clematitis","Volume 3","Aristolochia clematitis"
"Armoracia rusticana","Volume 7","Armoracia rusticana"
"Arnica angustifolia","Volume 21","Arnica angustifolia"
"Arnica angustifolia subsp. angustifolia","Volume 21","Arnica angustifolia subsp. angustifolia"
"Arnica chamissonis","Volume 21","Arnica chamissonis"
"Arnica griscomii","Volume 21","Arnica griscomii"
"Arnica griscomii subsp. griscomii","Volume 21","Arnica griscomii subsp. griscomii"
"Arnica lanceolata","Volume 21","Arnica lanceolata"
"Arnica lanceolata subsp. lanceolata","Volume 21","Arnica lanceolata subsp. lanceolata"
"Arnica lonchophylla","Volume 21","Arnica lonchophylla"
"Aronia arbutifolia","Volume 9","Aronia arbutifolia"
"Aronia melanocarpa","Volume 9","Aronia melanocarpa"
"Arrhenatherum","Volume 24","Arrhenatherum"
"Arrhenatherum elatius","Volume 24","Arrhenatherum elatius"
"Artemisia abrotanum","Volume 19","Artemisia abrotanum"
"Artemisia absinthium","Volume 19","Artemisia absinthium"
"Artemisia annua","Volume 19","Artemisia annua"
"Artemisia biennis","Volume 19","Artemisia biennis"
"Artemisia campestris","Volume 19","Artemisia campestris"
"Artemisia campestris subsp. canadensis","Volume 19","Artemisia campestris subsp. canadensis"
"Artemisia campestris subsp. caudata","Volume 19","Artemisia campestris subsp. caudata"
