"","Volume","Taxon name"
"Danthonia","Volume 25","Danthonia"
"Danthonia intermedia","Volume 25","Danthonia intermedia"
"Danthonia spicata","Volume 25","Danthonia spicata"
"Dasiphora fruticosa","Volume 9","Dasiphora fruticosa"
"Deschampsia","Volume 24","Deschampsia"
"Deschampsia cespitosa","Volume 24","Deschampsia cespitosa"
"Deschampsia cespitosa subsp. beringensis","Volume 24","Deschampsia cespitosa subsp. beringensis"
"Deschampsia cespitosa subsp. cespitosa","Volume 24","Deschampsia cespitosa subsp. cespitosa"
"Deschampsia cespitosa subsp. holciformis","Volume 24","Deschampsia cespitosa subsp. holciformis"
"Deschampsia flexuosa","Volume 24","Deschampsia flexuosa"
"Deschampsia mackenzieana","Volume 24","Deschampsia mackenzieana"
"Deschampsia sukatschewii","Volume 24","Deschampsia sukatschewii"
"Diapensia lapponica","Volume 8","Diapensia lapponica"
"Dichelyma falcatum","Volume 28","Dichelyma falcatum"
"Dichodontium pellucidum","Volume 27","Dichodontium pellucidum"
"Didymodon ferrugineus","Volume 27","Didymodon ferrugineus"
"Didymodon rigidulus var. gracilis","Volume 27","Didymodon rigidulus var. gracilis"
"Distichium capillaceum","Volume 27","Distichium capillaceum"
"Distichium inclinatum","Volume 27","Distichium inclinatum"
"Ditrichum flexicaule","Volume 27","Ditrichum flexicaule"
"Ditrichum gracile","Volume 27","Ditrichum gracile"
"Ditrichum lineare","Volume 27","Ditrichum lineare"
"Ditrichum pusillum","Volume 27","Ditrichum pusillum"
"Draba glabella","Volume 7","Draba glabella"
"Draba incana","Volume 7","Draba incana"
"Draba lactea","Volume 7","Draba lactea"
"Draba norvegica","Volume 7","Draba norvegica"
"Drepanocladus aduncus","Volume 28","Drepanocladus aduncus"
"Drepanocladus polygamus","Volume 28","Drepanocladus polygamus"
"Drosera anglica","Volume 6","Drosera anglica"
"Drosera intermedia","Volume 6","Drosera intermedia"
"Drosera rotundifolia","Volume 6","Drosera rotundifolia"
"Dryas integrifolia subsp. integrifolia","Volume 9","Dryas integrifolia subsp. integrifolia"
"Dulichium arundinaceum var. arundinaceum","Volume 23","Dulichium arundinaceum var. arundinaceum"
"Elatine minima","Volume 12","Elatine minima"
"Eleocharis acicularis","Volume 23","Eleocharis acicularis"
"Eleocharis elliptica","Volume 23","Eleocharis elliptica"
"Eleocharis kamtschatica","Volume 23","Eleocharis kamtschatica"
"Eleocharis nitida","Volume 23","Eleocharis nitida"
"Eleocharis ovata","Volume 23","Eleocharis ovata"
"Eleocharis palustris","Volume 23","Eleocharis palustris"
"Eleocharis parvula","Volume 23","Eleocharis parvula"
"Eleocharis quinqueflora","Volume 23","Eleocharis quinqueflora"
"Eleocharis uniglumis","Volume 23","Eleocharis uniglumis"
"Elodium blandowii","Volume 28","Elodium blandowii"
"Elymus","Volume 24","Elymus"
"Elymus ciliaris","Volume 24","Elymus ciliaris"
"Elymus curvatus","Volume 24","Elymus curvatus"
"Elymus dahuricus","Volume 24","Elymus dahuricus"
"Elymus pringlei","Volume 24","Elymus pringlei"
"Elymus repens","Volume 24","Elymus repens"
"Elymus sierrae","Volume 24","Elymus sierrae"
"Elymus trachycaulus","Volume 24","Elymus trachycaulus"
"Elymus trachycaulus subsp. subsecundus","Volume 24","Elymus trachycaulus subsp. subsecundus"
"Elymus trachycaulus subsp. trachycaulus","Volume 24","Elymus trachycaulus subsp. trachycaulus"
"Elymus trachycaulus subsp. virescens","Volume 24","Elymus trachycaulus subsp. virescens"
"Elymus tsukushiensis","Volume 24","Elymus tsukushiensis"
"Elymus violaceus","Volume 24","Elymus violaceus"
"Elymus ×pinalenoensis","Volume 24","Elymus ×pinalenoensis"
"Empetrum atropurpureum","Volume 8","Empetrum atropurpureum"
"Empetrum eamesii","Volume 8","Empetrum eamesii"
"Empetrum nigrum","Volume 8","Empetrum nigrum"
"Encalypta procera","Volume 27","Encalypta procera"
"Epigaea repens","Volume 8","Epigaea repens"
"Erigeron acris","Volume 20","Erigeron acris"
"Erigeron elatus","Volume 20","Erigeron elatus"
"Erigeron strigosus var. strigosus","Volume 20","Erigeron strigosus var. strigosus"
"Erigeron uniflorus","Volume 20","Erigeron uniflorus"
"Eriophorum angustifolium subsp. angustifolium","Volume 23","Eriophorum angustifolium subsp. angustifolium"
"Eriophorum brachyantherum","Volume 23","Eriophorum brachyantherum"
"Eriophorum callitrix","Volume 23","Eriophorum callitrix"
"Eriophorum chamissonis","Volume 23","Eriophorum chamissonis"
"Eriophorum gracile","Volume 23","Eriophorum gracile"
"Eriophorum scheuchzeri","Volume 23","Eriophorum scheuchzeri"
"Eriophorum tenellum","Volume 23","Eriophorum tenellum"
"Eriophorum vaginatum","Volume 23","Eriophorum vaginatum"
"Eriophorum virginicum","Volume 23","Eriophorum virginicum"
"Eriophorum viridicarinatum","Volume 23","Eriophorum viridicarinatum"
"Erucastrum gallicum","Volume 7","Erucastrum gallicum"
"Erythronium americanum subsp. americanum","Volume 26","Erythronium americanum subsp. americanum"
"Euphrasia arctica subsp. borealis","Volume 17","Euphrasia arctica subsp. borealis"
"Euphrasia disjuncta","Volume 17","Euphrasia disjuncta"
"Euphrasia frigida","Volume 17","Euphrasia frigida"
"Euphrasia oakesii var. oakesii","Volume 17","Euphrasia oakesii var. oakesii"
"Euphrasia oakesii var. williamsii","Volume 17","Euphrasia oakesii var. williamsii"
"Euphrasia ostenfeldii","Volume 17","Euphrasia ostenfeldii"
"Euphrasia randii","Volume 17","Euphrasia randii"
"Euphrasia suborbicularis","Volume 17","Euphrasia suborbicularis"
"Euphrasia vinacea","Volume 17","Euphrasia vinacea"
"Euphrasia wettsteinii","Volume 17","Euphrasia wettsteinii"
"Eurhynchiastrum pulchellum var. pulchellum","Volume 28","Eurhynchiastrum pulchellum var. pulchellum"
"Eurybia radula","Volume 20","Eurybia radula"
"Fallopia convolvulus","Volume 5","Fallopia convolvulus"
"Festuca","Volume 24","Festuca"
"Festuca altaica","Volume 24","Festuca altaica"
"Festuca amethystina","Volume 24","Festuca amethystina"
"Festuca brachyphylla","Volume 24","Festuca brachyphylla"
"Festuca brachyphylla subsp. brachyphylla","Volume 24","Festuca brachyphylla subsp. brachyphylla"
"Festuca brachyphylla subsp. breviculmis","Volume 24","Festuca brachyphylla subsp. breviculmis"
"Festuca brachyphylla subsp. coloradensis","Volume 24","Festuca brachyphylla subsp. coloradensis"
"Festuca filiformis","Volume 24","Festuca filiformis"
"Festuca frederikseniae","Volume 24","Festuca frederikseniae"
"Festuca glauca","Volume 24","Festuca glauca"
"Festuca prolifera","Volume 24","Festuca prolifera"
"Festuca roemeri","Volume 24","Festuca roemeri"
"Festuca rubra","Volume 24","Festuca rubra"
"Festuca rubra subsp. arctica","Volume 24","Festuca rubra subsp. arctica"
"Festuca rubra subsp. arenaria","Volume 24","Festuca rubra subsp. arenaria"
"Festuca rubra subsp. aucta","Volume 24","Festuca rubra subsp. aucta"
"Festuca rubra subsp. commutata","Volume 24","Festuca rubra subsp. commutata"
"Festuca rubra subsp. fallax","Volume 24","Festuca rubra subsp. fallax"
"Festuca rubra subsp. mediana","Volume 24","Festuca rubra subsp. mediana"
"Festuca rubra subsp. pruinosa","Volume 24","Festuca rubra subsp. pruinosa"
"Festuca rubra subsp. rubra","Volume 24","Festuca rubra subsp. rubra"
"Festuca rubra subsp. secunda","Volume 24","Festuca rubra subsp. secunda"
"Festuca rubra subsp. vallicola","Volume 24","Festuca rubra subsp. vallicola"
"Festuca saximontana","Volume 24","Festuca saximontana"
"Festuca saximontana var. robertsiana","Volume 24","Festuca saximontana var. robertsiana"
"Festuca saximontana var. saximontana","Volume 24","Festuca saximontana var. saximontana"
"Festuca sect. Breviaristatae","Volume 24","Festuca sect. Breviaristatae"
"Festuca sect. Elmera","Volume 24","Festuca sect. Elmera"
"Festuca sect. Festuca","Volume 24","Festuca sect. Festuca"
"Festuca sect. Subulatae","Volume 24","Festuca sect. Subulatae"
"Festuca sect. Subuliflorae","Volume 24","Festuca sect. Subuliflorae"
"Festuca sect. Texanae","Volume 24","Festuca sect. Texanae"
"Festuca subg. Festuca","Volume 24","Festuca subg. Festuca"
"Festuca subg. Montanae","Volume 24","Festuca subg. Montanae"
"Festuca subg. Obtusae","Volume 24","Festuca subg. Obtusae"
"Festuca subg. Subulatae","Volume 24","Festuca subg. Subulatae"
"Festuca trachyphylla","Volume 24","Festuca trachyphylla"
"Festuca viviparoidea","Volume 24","Festuca viviparoidea"
"Festuca viviparoidea subsp. krajinae","Volume 24","Festuca viviparoidea subsp. krajinae"
"Festuca viviparoidea subsp. viviparoidea","Volume 24","Festuca viviparoidea subsp. viviparoidea"
"Fontinalis antipyretica","Volume 28","Fontinalis antipyretica"
"Fontinalis dalecarlica","Volume 28","Fontinalis dalecarlica"
"Fragaria virginiana subsp. glauca","Volume 9","Fragaria virginiana subsp. glauca"
"Funaria hygrometrica var. hygrometrica","Volume 27","Funaria hygrometrica var. hygrometrica"
"Gaultheria hispidula","Volume 8","Gaultheria hispidula"
"Gemmabryum caespiticium","Volume 28","Gemmabryum caespiticium"
"Geocaulon lividum","Volume 12","Geocaulon lividum"
"Geum macrophyllum var. macrophyllum","Volume 9","Geum macrophyllum var. macrophyllum"
"Geum rivale","Volume 9","Geum rivale"
"Glyceria","Volume 24","Glyceria"
"Glyceria alnasteretum","Volume 24","Glyceria alnasteretum"
