"","Volume","Taxon name"
"Camelina microcarpa","Volume 7","Camelina microcarpa"
"Campyliadelphus chrysophyllus","Volume 28","Campyliadelphus chrysophyllus"
"Campylium protensum","Volume 28","Campylium protensum"
"Campylium stellatum","Volume 28","Campylium stellatum"
"Capsella bursa-pastoris","Volume 7","Capsella bursa-pastoris"
"Cardamine diphylla","Volume 7","Cardamine diphylla"
"Cardamine pensylvanica","Volume 7","Cardamine pensylvanica"
"Cardamine pratensis","Volume 7","Cardamine pratensis"
"Carduus acanthoides","Volume 19","Carduus acanthoides"
"Carduus acanthoides subsp. acanthoides","Volume 19","Carduus acanthoides subsp. acanthoides"
"Carduus crispus","Volume 19","Carduus crispus"
"Carduus nutans","Volume 19","Carduus nutans"
"Carex adusta","Volume 23","Carex adusta"
"Carex albicans","Volume 23","Carex albicans"
"Carex albicans var. albicans","Volume 23","Carex albicans var. albicans"
"Carex albicans var. emmonsii","Volume 23","Carex albicans var. emmonsii"
"Carex alopecoidea","Volume 23","Carex alopecoidea"
"Carex aquatilis","Volume 23","Carex aquatilis"
"Carex aquatilis var. aquatilis","Volume 23","Carex aquatilis var. aquatilis"
"Carex aquatilis var. substricta","Volume 23","Carex aquatilis var. substricta"
"Carex arctata","Volume 23","Carex arctata"
"Carex argyrantha","Volume 23","Carex argyrantha"
"Carex atlantica","Volume 23","Carex atlantica"
"Carex atlantica subsp. atlantica","Volume 23","Carex atlantica subsp. atlantica"
"Carex atlantica subsp. capillacea","Volume 23","Carex atlantica subsp. capillacea"
"Carex atratiformis","Volume 23","Carex atratiformis"
"Carex aurea","Volume 23","Carex aurea"
"Carex bebbii","Volume 23","Carex bebbii"
"Carex bromoides","Volume 23","Carex bromoides"
"Carex bromoides subsp. bromoides","Volume 23","Carex bromoides subsp. bromoides"
"Carex brunnescens","Volume 23","Carex brunnescens"
"Carex brunnescens subsp. brunnescens","Volume 23","Carex brunnescens subsp. brunnescens"
