"","Volume","Taxon name"
"Carex glareosa","Volume 23","Carex glareosa"
"Carex glareosa subsp. glareosa","Volume 23","Carex glareosa subsp. glareosa"
"Carex gracillima","Volume 23","Carex gracillima"
"Carex gynandra","Volume 23","Carex gynandra"
"Carex hirta","Volume 23","Carex hirta"
"Carex hormathodes","Volume 23","Carex hormathodes"
"Carex interior","Volume 23","Carex interior"
"Carex intumescens","Volume 23","Carex intumescens"
"Carex lasiocarpa","Volume 23","Carex lasiocarpa"
"Carex lenticularis","Volume 23","Carex lenticularis"
"Carex lenticularis var. lenticularis","Volume 23","Carex lenticularis var. lenticularis"
"Carex leptalea","Volume 23","Carex leptalea"
"Carex leptonervia","Volume 23","Carex leptonervia"
"Carex limosa","Volume 23","Carex limosa"
"Carex livida","Volume 23","Carex livida"
"Carex mackenziei","Volume 23","Carex mackenziei"
"Carex magellanica","Volume 23","Carex magellanica"
"Carex magellanica subsp. irrigua","Volume 23","Carex magellanica subsp. irrigua"
"Carex nigra","Volume 23","Carex nigra"
"Carex ovalis","Volume 23","Carex ovalis"
"Carex paleacea","Volume 23","Carex paleacea"
"Carex projecta","Volume 23","Carex projecta"
"Carex recta","Volume 23","Carex recta"
"Carex scabrata","Volume 23","Carex scabrata"
"Carex scoparia","Volume 23","Carex scoparia"
"Carex scoparia var. scoparia","Volume 23","Carex scoparia var. scoparia"
"Carex silicea","Volume 23","Carex silicea"
"Carex stipata","Volume 23","Carex stipata"
"Carex stipata var. stipata","Volume 23","Carex stipata var. stipata"
"Carex stricta","Volume 23","Carex stricta"
"Carex tenuiflora","Volume 23","Carex tenuiflora"
"Carex tincta","Volume 23","Carex tincta"
"Carex tonsa","Volume 23","Carex tonsa"
"Carex tonsa var. tonsa","Volume 23","Carex tonsa var. tonsa"
"Carex trisperma","Volume 23","Carex trisperma"
"Carex umbellata","Volume 23","Carex umbellata"
"Carex utriculata","Volume 23","Carex utriculata"
"Carex vacillans","Volume 23","Carex vacillans"
"Carex viridula","Volume 23","Carex viridula"
"Carex viridula var. viridula","Volume 23","Carex viridula var. viridula"
"Carex vulpinoidea","Volume 23","Carex vulpinoidea"
"Carex wiegandii","Volume 23","Carex wiegandii"
"Catabrosa","Volume 24","Catabrosa"
"Catabrosa aquatica","Volume 24","Catabrosa aquatica"
"Celastrus orbiculatus","Volume 12","Celastrus orbiculatus"
"Centaurea cyanus","Volume 19","Centaurea cyanus"
"Centaurea nigra","Volume 19","Centaurea nigra"
"Cerastium arvense","Volume 5","Cerastium arvense"
"Cerastium arvense subsp. strictum","Volume 5","Cerastium arvense subsp. strictum"
"Cerastium fontanum","Volume 5","Cerastium fontanum"
"Cerastium fontanum subsp. vulgare","Volume 5","Cerastium fontanum subsp. vulgare"
"Cerastium tomentosum","Volume 5","Cerastium tomentosum"
"Ceratodon purpureus subsp. purpureus","Volume 27","Ceratodon purpureus subsp. purpureus"
"Ceratophyllum demersum","Volume 3","Ceratophyllum demersum"
"Chaenorhinum minus","Volume 17","Chaenorhinum minus"
"Chaenorhinum minus subsp. minus","Volume 17","Chaenorhinum minus subsp. minus"
"Chamaedaphne calyculata","Volume 8","Chamaedaphne calyculata"
"Chelidonium majus","Volume 3","Chelidonium majus"
"Chelone glabra","Volume 17","Chelone glabra"
"Chenopodium album","Volume 4","Chenopodium album"
"Chenopodium berlandieri","Volume 4","Chenopodium berlandieri"
"Chenopodium berlandieri var. macrocalycium","Volume 4","Chenopodium berlandieri var. macrocalycium"
"Chenopodium glaucum","Volume 4","Chenopodium glaucum"
"Chenopodium glaucum var. glaucum","Volume 4","Chenopodium glaucum var. glaucum"
"Chenopodium strictum","Volume 4","Chenopodium strictum"
"Chimaphila umbellata","Volume 8","Chimaphila umbellata"
"Chimaphila umbellata subsp. umbellata","Volume 8","Chimaphila umbellata subsp. umbellata"
"Chrysosplenium americanum","Volume 8","Chrysosplenium americanum"
"Cichorium intybus","Volume 19","Cichorium intybus"
"Cinna","Volume 24","Cinna"
"Cinna latifolia","Volume 24","Cinna latifolia"
"Cirsium arvense","Volume 19","Cirsium arvense"
"Cirsium muticum","Volume 19","Cirsium muticum"
"Cirsium vulgare","Volume 19","Cirsium vulgare"
"Claytonia caroliniana","Volume 4","Claytonia caroliniana"
"Clematis virginiana","Volume 3","Clematis virginiana"
"Climacium dendroides","Volume 28","Climacium dendroides"
