"x"
"Empetrum nigrum"
"Encalypta procera"
"Epifagus virginiana"
"Epigaea repens"
"Equisetum arvense"
"Equisetum fluviatile"
"Equisetum hyemale"
"Equisetum hyemale subsp. affine"
"Equisetum palustre"
"Equisetum pratense"
"Equisetum scirpoides"
"Equisetum sylvaticum"
"Equisetum variegatum"
"Equisetum variegatum subsp. variegatum"
"Equisetum ×litorale"
"Eragrostis"
"Eragrostis minor"
"Eragrostis obtusiflora"
"Eragrostis reptans"
"Eragrostis setifolia"
"Erechtites hieraciifolius"
"Erechtites hieraciifolius var. hieraciifolius"
"Erigeron annuus"
"Erigeron philadelphicus"
"Erigeron philadelphicus var. philadelphicus"
"Erigeron strigosus"
"Erigeron strigosus var. septentrionalis"
"Erigeron strigosus var. strigosus"
"Eriophorum angustifolium"
"Eriophorum angustifolium subsp. angustifolium"
"Eriophorum chamissonis"
"Eriophorum gracile"
"Eriophorum tenellum"
"Eriophorum virginicum"
"Eriophorum viridicarinatum"
"Erucastrum gallicum"
"Erysimum cheiranthoides"
"Erythranthe moschata"
"Euonymus europaeus"
"Eupatorium perfoliatum"
"Euphorbia cyparissias"
"Euphorbia glyptosperma"
"Euphorbia helioscopia"
"Euphorbia maculata"
"Euphorbia peplus"
"Euphorbia polygonifolia"
"Euphorbia virgata"
"Euphrasia arctica"
"Euphrasia arctica subsp. borealis"
"Euphrasia farlowii"
"Euphrasia nemorosa"
"Euphrasia randii"
"Euphrasia stricta"
"Euphrasia stricta var. brevipila"
"Euphrasia stricta var. stricta"
"Eurybia macrophylla"
"Eurybia radula"
"Euthamia graminifolia"
"Eutrochium maculatum"
"Eutrochium maculatum var. foliosum"
"Eutrochium maculatum var. maculatum"
"Fagopyrum esculentum"
"Fagus grandifolia"
"Fallopia cilinodis"
"Fallopia convolvulus"
"Fallopia japonica"
"Fallopia japonica var. japonica"
"Fallopia sachalinensis"
"Fallopia scandens"
"Festuca"
"Festuca amethystina"
"Festuca filiformis"
"Festuca frederikseniae"
"Festuca glauca"
"Festuca prolifera"
"Festuca roemeri"
"Festuca rubra"
"Festuca rubra subsp. arctica"
"Festuca rubra subsp. arenaria"
"Festuca rubra subsp. aucta"
"Festuca rubra subsp. commutata"
"Festuca rubra subsp. fallax"
"Festuca rubra subsp. mediana"
"Festuca rubra subsp. pruinosa"
"Festuca rubra subsp. rubra"
"Festuca rubra subsp. secunda"
"Festuca rubra subsp. vallicola"
"Festuca sect. Breviaristatae"
"Festuca sect. Elmera"
"Festuca sect. Festuca"
"Festuca sect. Subulatae"
"Festuca sect. Subuliflorae"
"Festuca sect. Texanae"
"Festuca subg. Festuca"
"Festuca subg. Montanae"
"Festuca subg. Obtusae"
"Festuca subg. Subulatae"
"Festuca trachyphylla"
"Filipendula ulmaria"
"Fissidens bryoides"
"Fissidens taxifolius"
"Fontinalis antipyretica"
"Fragaria virginiana"
"Fragaria virginiana subsp. glauca"
"Frangula alnus"
"Fumaria officinalis"
"Funaria hygrometrica var. hygrometrica"
"Galinsoga quadriradiata"
"Gaultheria hispidula"
"Gaultheria procumbens"
"Gaylussacia baccata"
"Gaylussacia bigeloviana"
"Gemmabryum caespiticium"
"Geum aleppicum"
"Geum canadense"
"Geum laciniatum"
"Geum macrophyllum"
"Geum macrophyllum var. macrophyllum"
"Geum rivale"
"Glyceria"
"Glyceria alnasteretum"
"Glyceria borealis"
"Glyceria canadensis"
"Glyceria canadensis var. canadensis"
"Glyceria canadensis var. laxa"
"Glyceria elata"
"Glyceria grandis"
"Glyceria grandis var. grandis"
"Glyceria notata"
"Glyceria sect. Glyceria"
"Glyceria sect. Hydropoa"
"Glyceria sect. Striatae"
"Glyceria striata"
"Gnaphalium uliginosum"
"Goodyera repens"
"Goodyera tesselata"
"Grimmia hartmanii"
"Gymnocarpium dryopteris"
"Gymnostomum aeruginosum"
"Hamatocaulis vernicosus"
"Helianthus annuus"
"Helianthus pauciflorus"
"Helianthus pauciflorus subsp. pauciflorus"
"Helianthus tuberosus"
"Hemerocallis fulva"
"Herzogiella striatella"
"Herzogiella turfacea"
"Hesperis matronalis"
"Heterocladium dimorphum"
"Hibiscus trionum"
"Hieracium aurantiacum"
"Hieracium caespitosum"
"Hieracium flagellare"
"Hieracium piloselloides"
"Hieracium scabrum"
"Hieracium umbellatum"
"Hieracium vulgatum"
"Hippuris vulgaris"
"Honckenya peploides"
"Honckenya peploides subsp. robusta"
"Hordeum"
"Hordeum jubatum"
"Hordeum jubatum subsp. intermedium"
"Hordeum jubatum subsp. jubatum"
"Hordeum secalinum"
"Hordeum vulgare"
"Hudsonia ericoides"
"Hudsonia tomentosa"
"Humulus lupulus"
"Humulus lupulus var. lupuloides"
"Humulus lupulus var. lupulus"
"Huperzia lucidula"
"Huperzia selago"
"Hygroamblystegium varium var. humile"
"Hygroamblystegium varium var. varium"
"Hylocomiastrum umbratum"
"Hylocomium splendens"
"Hylotelephium telephium"
"Hypericum boreale"
"Hypericum canadense"
"Hypericum gentianoides"
"Hypericum majus"
"Hypericum perforatum"
"Hypericum perforatum subsp. perforatum"
"Hypnum cupressiforme var. cupressiforme"
"Hypnum cupressiforme var. filiforme"
"Hypnum curvifolium"
"Hypnum imponens"
"Hypnum lindbergii"
"Hypnum pallescens"
"Iberis umbellata"
"Inula helenium"
"Iris hookeri"
"Iris pseudacorus"
"Iris versicolor"
"Isothecium myosuroides"
"Isoëtes echinospora"
"Isoëtes lacustris"
"Juncus alpinoarticulatus"
"Juncus anthelatus"
"Juncus arcticus"
"Juncus arcticus var. balticus"
"Juncus articulatus"
"Juncus brevicaudatus"
"Juncus bufonius"
"Juncus canadensis"
"Juncus dudleyi"
"Juncus effusus"
"Juncus filiformis"
"Juncus gerardii"
"Juncus greenei"
"Juncus militaris"
"Juncus nodosus"
"Juncus pelocarpus"
"Juncus stygius"
"Juncus stygius var. americanus"
"Juncus tenuis"
"Juniperus communis"
"Juniperus communis var. depressa"
"Juniperus horizontalis"
"Kalmia angustifolia"
"Kalmia angustifolia var. angustifolia"
"Kalmia polifolia"
"Lactuca biennis"
"Lactuca canadensis"
"Lactuca hirsuta"
"Lactuca serriola"
"Larix laricina"
"Lechea intermedia"
"Lechea intermedia var. intermedia"
"Lechea intermedia var. juniperina"
"Lechea maritima"
"Lechea maritima var. subcylindrica"
"Leersia"
"Leersia oryzoides"
"Lemna trisulca"
"Lemna turionifera"
"Leontodon autumnalis"
"Lepidium campestre"
"Lepidium densiflorum"
"Lepidium ruderale"
"Lepidium sativum"
"Lepidium virginicum"
"Lepidium virginicum subsp. virginicum"
"Leptodictyum riparium"
"Leucobryum glaucum"
"Leucodon andrewsianus"
"Leymus"
"Leymus californicus"
"Leymus mollis"
"Leymus mollis subsp. mollis"
