"x"
"Carex flava"
"Carex foenea"
"Carex folliculata"
"Carex formosa"
"Carex fuliginosa"
"Carex garberi"
"Carex glacialis"
"Carex glareosa"
"Carex glareosa subsp. glareosa"
"Carex gracillima"
"Carex granularis"
"Carex grayi"
"Carex grisea"
"Carex gynandra"
"Carex gynocrates"
"Carex haydenii"
"Carex heleonastes"
"Carex hirsutella"
"Carex hirta"
"Carex hirtifolia"
"Carex hitchcockiana"
"Carex holostoma"
"Carex hormathodes"
"Carex hostiana"
"Carex houghtoniana"
"Carex hystericina"
"Carex interior"
"Carex intumescens"
"Carex krausei"
"Carex lachenalii"
"Carex lacustris"
"Carex lapponica"
"Carex lasiocarpa"
"Carex laxiflora"
"Carex lenticularis"
"Carex lenticularis var. lenticularis"
"Carex leptalea"
"Carex leptonervia"
"Carex limosa"
"Carex livida"
"Carex lucorum"
"Carex lucorum var. lucorum"
"Carex lupuliformis"
"Carex lupulina"
"Carex lurida"
"Carex mackenziei"
"Carex macloviana"
"Carex magellanica"
"Carex magellanica subsp. irrigua"
"Carex marina"
"Carex maritima"
"Carex media"
"Carex membranacea"
"Carex merritt-fernaldii"
"Carex michauxiana"
"Carex microglochin"
"Carex microglochin subsp. microglochin"
"Carex molesta"
"Carex muehlenbergii"
"Carex muehlenbergii var. muehlenbergii"
"Carex nardina"
"Carex nigra"
"Carex normalis"
"Carex norvegica"
"Carex novae-angliae"
"Carex oligocarpa"
"Carex oligosperma"
"Carex ormostachya"
"Carex paleacea"
"Carex pallescens"
"Carex pauciflora"
"Carex peckii"
"Carex pedunculata"
"Carex pellita"
"Carex pensylvanica"
"Carex petricosa"
"Carex petricosa var. misandroides"
"Carex plantaginea"
"Carex platyphylla"
"Carex praegracilis"
"Carex prairea"
"Carex prasina"
"Carex praticola"
"Carex projecta"
"Carex pseudocyperus"
"Carex radiata"
"Carex rariflora"
"Carex recta"
"Carex retrorsa"
"Carex richardsonii"
"Carex rosea"
"Carex rostrata"
"Carex rotundata"
"Carex rufina"
"Carex rupestris"
"Carex salina"
"Carex sartwellii"
"Carex saxatilis"
"Carex scabrata"
"Carex scirpoidea"
"Carex scirpoidea subsp. scirpoidea"
"Carex scoparia"
"Carex scoparia var. scoparia"
"Carex siccata"
"Carex silicea"
"Carex sparganioides"
"Carex sprengelii"
"Carex sterilis"
"Carex stipata"
"Carex stipata var. stipata"
"Carex stricta"
"Carex stylosa"
"Carex subspathacea"
"Carex swanii"
"Carex sychnocephala"
"Carex tenera"
"Carex tenera var. tenera"
"Carex tenuiflora"
"Carex tincta"
"Carex tonsa"
"Carex tonsa var. rugosperma"
"Carex tonsa var. tonsa"
"Carex tribuloides"
"Carex tribuloides var. tribuloides"
"Carex trichocarpa"
"Carex trisperma"
"Carex tuckermanii"
"Carex typhina"
"Carex umbellata"
"Carex ursina"
"Carex utriculata"
"Carex vacillans"
"Carex vaginata"
"Carex vesicaria"
"Carex virescens"
"Carex viridula"
"Carex viridula subsp. oedocarpa"
"Carex viridula var. elatior"
"Carex viridula var. viridula"
"Carex vulpinoidea"
"Carex wiegandii"
"Carex williamsii"
"Carpinus caroliniana subsp. virginiana"
"Carya cordiformis"
"Carya ovata"
"Carya ovata var. ovata"
"Castilleja elegans"
"Castilleja raupii"
"Castilleja septentrionalis"
"Catabrosa"
"Catabrosa aquatica"
"Catoscopium nigritum"
"Caulophyllum giganteum"
"Caulophyllum thalictroides"
"Ceanothus americanus"
"Ceanothus herbaceus"
"Celastrus orbiculatus"
"Celastrus scandens"
"Celtis occidentalis"
"Cenchrus"
"Cenchrus longispinus"
"Centaurea cyanus"
"Centaurea diffusa"
"Centaurea jacea"
"Centaurea macrocephala"
"Centaurea montana"
"Centaurea nigra"
"Centaurea nigrescens"
"Centaurea scabiosa"
"Centaurea stoebe"
"Centaurea stoebe subsp. micranthos"
"Centaurea ×moncktonii"
"Cerastium alpinum"
"Cerastium alpinum subsp. alpinum"
"Cerastium alpinum subsp. lanatum"
"Cerastium arcticum"
"Cerastium arvense"
"Cerastium arvense subsp. arvense"
"Cerastium arvense subsp. strictum"
"Cerastium beeringianum"
"Cerastium cerastoides"
"Cerastium fontanum"
"Cerastium fontanum subsp. vulgare"
"Cerastium glomeratum"
"Cerastium nutans"
"Cerastium nutans var. nutans"
"Cerastium regelii"
"Cerastium tomentosum"
"Ceratodon purpureus subsp. purpureus"
"Ceratophyllum demersum"
"Ceratophyllum echinatum"
"Chaenorhinum minus"
"Chaenorhinum minus subsp. minus"
"Chamaedaphne calyculata"
"Chelidonium majus"
"Chelone glabra"
"Chenopodium album"
"Chenopodium berlandieri"
"Chenopodium berlandieri var. bushianum"
"Chenopodium berlandieri var. zschackei"
"Chenopodium bonus-henricus"
"Chenopodium capitatum"
"Chenopodium capitatum var. capitatum"
"Chenopodium ficifolium"
"Chenopodium foggii"
"Chenopodium glaucum"
"Chenopodium glaucum var. glaucum"
"Chenopodium glaucum var. salinum"
"Chenopodium murale"
"Chenopodium polyspermum"
"Chenopodium polyspermum var. acutifolium"
"Chenopodium rubrum"
"Chenopodium rubrum var. rubrum"
"Chenopodium simplex"
"Chenopodium strictum"
"Chenopodium urbicum"
"Chimaphila maculata"
"Chimaphila umbellata"
"Chimaphila umbellata subsp. umbellata"
"Chrysosplenium americanum"
"Chrysosplenium tetrandrum"
"Cichorium intybus"
"Cinclidium latifolium"
"Cinclidium stygium"
"Cinclidium subrotundum"
"Cinna"
"Cinna arundinacea"
"Cinna latifolia"
"Cirsium arvense"
"Cirsium discolor"
"Cirsium flodmanii"
"Cirsium muticum"
"Cirsium palustre"
"Cirsium scariosum"
"Cirsium scariosum var. scariosum"
"Cirsium vulgare"
"Cladium mariscoides"
"Claytonia caroliniana"
"Claytonia virginica"
"Clematis occidentalis"
"Clematis occidentalis var. occidentalis"
"Clematis virginiana"
"Climacium americanum"
"Climacium dendroides"
"Clintonia borealis"
"Cochlearia groenlandica"
"Cochlearia tridactylites"
"Codriophorus acicularis"
"Codriophorus fascicularis"
"Coeloglossum viride"
"Comandra umbellata"
"Comandra umbellata subsp. umbellata"
"Comarum palustre"
"Commelina communis"
"Comptonia peregrina"
"Conardia compacta"
"Conopholis americana"
"Conostomum tetragonum"
"Conringia orientalis"
"Convallaria majalis var. majalis"
"Conyza canadensis"
"Coptis trifolia"
"Corallorhiza maculata var. maculata"
"Corallorhiza maculata var. occidentalis"
"Corallorhiza odontorhiza var. odontorhiza"
"Corallorhiza striata var. striata"
"Corallorhiza striata var. vreelandii"
"Corallorhiza trifida"
"Corema conradii"
"Coreopsis grandiflora"
"Coreopsis tinctoria"
"Coreopsis tripteris"
"Coreopsis verticillata"
"Corispermum americanum"
"Corispermum americanum var. americanum"
"Corispermum pallasii"
"Corispermum villosum"
"Cornus alternifolia"
"Cornus canadensis"
"Cornus obliqua"
"Cornus racemosa"
"Cornus rugosa"
"Cornus sericea"
"Cornus suecica"
"Corydalis aurea"
"Corydalis aurea subsp. aurea"
"Corydalis sempervirens"
"Corylus cornuta subsp. cornuta"
"Coscinodon cribrosus"
"Cosmos bipinnatus"
"Cota tinctoria"
"Cotoneaster lucidus"
"Cotoneaster ×suecicus"
"Cotula coronopifolia"
"Crassula aquatica"
"Crataegus brainerdii"
"Crataegus chrysocarpa"
"Crataegus chrysocarpa var. blanchardii"
"Crataegus chrysocarpa var. chrysocarpa"
"Crataegus chrysocarpa var. faxonii"
"Crataegus chrysocarpa var. phoeniceoides"
"Crataegus chrysocarpa var. subrotundifolia"
"Crataegus coccinea"
"Crataegus coccinea var. pringlei"
"Crataegus coccinioides"
"Crataegus crus-galli"
"Crataegus crus-galli var. crus-galli"
"Crataegus dodgei"
"Crataegus flabellata"
"Crataegus fluviatilis"
"Crataegus holmesiana"
"Crataegus irrasa"
"Crataegus laurentiana"
"Crataegus lumaria"
"Crataegus macracantha"
"Crataegus macrosperma"
"Crataegus monogyna"
"Crataegus monogyna var. monogyna"
"Crataegus pruinosa"
"Crataegus pruinosa var. pruinosa"
"Crataegus punctata"
"Crataegus scabrida"
"Crataegus scabrida var. egglestonii"
"Crataegus scabrida var. scabrida"
"Crataegus schuettei"
"Crataegus schuettei var. schuettei"
"Crataegus submollis"
"Crataegus suborbiculata"
"Crataegus succulenta"
"Crataegus succulenta var. succulenta"
"Cratoneuron filicinum"
"Crepis capillaris"
"Crepis tectorum"
"Crocanthemum canadense"
"Cryptogramma stelleri"
"Ctenidium molluscum"
"Cyclachaena xanthiifolia"
"Cycloloma atriplicifolium"
"Cymbalaria muralis"
"Cymbalaria muralis subsp. muralis"
"Cynodontium glaucescens"
"Cynodontium polycarpon"
"Cynodontium schisti"
"Cynodontium strumiferum"
"Cynodontium tenellum"
"Cynosurus"
"Cynosurus cristatus"
"Cyperus bipartitus"
"Cyperus dentatus"
"Cyperus diandrus"
"Cyperus esculentus"
"Cyperus esculentus var. leptostachyus"
"Cyperus fuscus"
"Cyperus houghtonii"
"Cyperus lupulinus"
"Cyperus lupulinus subsp. macilentus"
"Cyperus odoratus"
"Cyperus schweinitzii"
"Cyperus squarrosus"
"Cyperus strigosus"
"Cypripedium acaule"
"Cypripedium arietinum"
"Cypripedium parviflorum var. makasin"
"Cypripedium parviflorum var. pubescens"
"Cypripedium passerinum"
"Cypripedium reginae"
"Cyrto-hypnum pygmaeum"
"Cyrtomnium hymenophylloides"
"Cyrtomnium hymenophyllum"
"Cystopteris bulbifera"
"Cystopteris fragilis"
"Cystopteris laurentiana"
"Cystopteris montana"
"Cystopteris tenuis"
"Dactylis"
"Dactylis glomerata"
"Danthonia"
"Danthonia compressa"
"Danthonia intermedia"
"Danthonia spicata"
"Daphne mezereum"
"Dasiphora fruticosa"
"Dennstaedtia punctilobula"
"Deparia acrostichoides"
"Deschampsia"
"Deschampsia alpina"
"Deschampsia brevifolia"
"Deschampsia cespitosa"
"Deschampsia cespitosa subsp. beringensis"
"Deschampsia cespitosa subsp. cespitosa"
"Deschampsia cespitosa subsp. holciformis"
"Deschampsia flexuosa"
"Deschampsia mackenzieana"
"Deschampsia sukatschewii"
"Descurainia incana"
"Descurainia pinnata"
"Descurainia pinnata subsp. brachycarpa"
"Descurainia sophia"
"Dianthus armeria subsp. armeria"
"Dianthus barbatus subsp. barbatus"
"Dianthus deltoides subsp. deltoides"
"Dianthus plumarius subsp. plumarius"
"Diapensia lapponica"
"Dicentra canadensis"
"Dicentra cucullaria"
"Dichanthelium"
"Dichanthelium acuminatum"
"Dichanthelium acuminatum subsp. acuminatum"
"Dichanthelium acuminatum subsp. columbianum"
"Dichanthelium acuminatum subsp. fasciculatum"
"Dichanthelium acuminatum subsp. implicatum"
"Dichanthelium acuminatum subsp. leucothrix"
"Dichanthelium acuminatum subsp. lindheimeri"
"Dichanthelium acuminatum subsp. longiligulatum"
"Dichanthelium acuminatum subsp. sericeum"
"Dichanthelium acuminatum subsp. spretum"
"Dichanthelium acuminatum subsp. thermale"
"Dichanthelium boreale"
"Dichanthelium chamaelonche"
"Dichanthelium chamaelonche subsp. breve"
"Dichanthelium chamaelonche subsp. chamaelonche"
"Dichanthelium clandestinum"
"Dichanthelium depauperatum"
"Dichanthelium ensifolium"
"Dichanthelium ensifolium subsp. curtifolium"
"Dichanthelium ensifolium subsp. ensifolium"
"Dichanthelium latifolium"
"Dichanthelium linearifolium"
"Dichanthelium nudicaule"
"Dichanthelium perlongum"
"Dichanthelium polyanthes"
"Dichanthelium portoricense"
"Dichanthelium portoricense subsp. patulum"
"Dichanthelium portoricense subsp. portoricense"
"Dichanthelium sect. Angustifolia"
"Dichanthelium sect. Clandestina"
"Dichanthelium sect. Dichanthelium"
"Dichanthelium sect. Ensifolia"
"Dichanthelium sect. Lancearia"
"Dichanthelium sect. Lanuginosa"
"Dichanthelium sect. Linearifolia"
"Dichanthelium sect. Macrocarpa"
"Dichanthelium sect. Nudicaulia"
"Dichanthelium sect. Oligosantha"
"Dichanthelium sect. Pedicellata"
"Dichanthelium sect. Sphaerocarpa"
"Dichanthelium sect. Strigosa"
"Dichanthelium tenue"
"Dichanthelium ×anthophysum"
"Dichelyma capillaceum"
"Dichelyma falcatum"
"Dichelyma pallescens"
"Dichodontium pellucidum"
"Dicranella cerviculata"
"Dicranella crispa"
"Dicranella heteromalla"
"Dicranella palustris"
"Dicranella rufescens"
"Dicranella schreberiana"
"Dicranella subulata"
"Dicranella varia"
"Dicranodontium denudatum"
"Dicranoweisia crispula"
"Dicranum acutifolium"
"Dicranum bonjeanii"
"Dicranum brevifolium"
"Dicranum condensatum"
"Dicranum elongatum"
"Dicranum flagellare"
"Dicranum fragilifolium"
"Dicranum fulvum"
"Dicranum fuscescens var. flexicaule"
"Dicranum fuscescens var. fuscescens"
"Dicranum groenlandicum"
"Dicranum leioneuron"
"Dicranum majus var. majus"
"Dicranum majus var. orthophyllum"
"Dicranum montanum"
"Dicranum muehlenbeckii"
"Dicranum ontariense"
"Dicranum polysetum"
"Dicranum scoparium"
"Dicranum spadiceum"
"Dicranum spurium"
"Dicranum undulatum"
"Dicranum viride"
"Didymodon fallax"
"Didymodon rigidulus var. gracilis"
"Didymodon rigidulus var. icmadophilus"
"Didymodon rigidulus var. rigidulus"
"Didymodon tophaceus"
"Digitalis lanata"
"Digitalis lutea"
"Digitalis purpurea"
"Digitalis purpurea subsp. purpurea"
"Digitaria"
"Digitaria bakeri"
"Digitaria didactyla"
"Digitaria ischaemum"
"Digitaria leucocoma"
"Digitaria sanguinalis"
"Digitaria tomentosa"
"Diphasiastrum alpinum"
