"x"
"Plagiobryum zieri"
"Plagiomnium ciliare"
"Plagiomnium cuspidatum"
"Plagiomnium ellipticum"
"Plagiomnium medium"
"Plagiomnium rostratum"
"Plagiopus oederianus"
"Plagiothecium cavifolium"
"Plagiothecium denticulatum"
"Plagiothecium laetum"
"Plantago major"
"Plantago maritima"
"Platanthera aquilonis"
"Platanthera dilatata var. dilatata"
"Platanthera huronensis"
"Platanthera macrophylla"
"Platanthera obtusata"
"Platydictya confervoides"
"Platydictya jungermannioides"
"Platydictya subtilis"
"Pleurozium schreberi"
"Poa"
"Poa alpina"
"Poa alpina subsp. alpina"
"Poa alpina subsp. vivipara"
"Poa annua"
"Poa arctica"
"Poa arctica subsp. aperta"
"Poa arctica subsp. arctica"
"Poa arctica subsp. caespitans"
"Poa arctica subsp. grayana"
"Poa arctica subsp. lanata"
"Poa compressa"
"Poa diaboli"
"Poa eminens"
"Poa glauca"
"Poa glauca subsp. glauca"
"Poa glauca subsp. rupicola"
"Poa glauca var. pekulnejensis"
"Poa interior"
"Poa laxa"
"Poa laxa subsp. banffiana"
"Poa laxa subsp. fernaldiana"
"Poa nemoralis"
"Poa palustris"
"Poa pratensis"
"Poa pratensis subsp. agassizensis"
"Poa pratensis subsp. alpigena"
"Poa pratensis subsp. angustifolia"
"Poa pratensis subsp. colpodea"
"Poa pratensis subsp. irrigata"
"Poa pratensis subsp. pratensis"
"Poa sect. Abbreviatae"
"Poa sect. Alpinae"
"Poa sect. Arctopoa"
"Poa sect. Arenariae"
"Poa sect. Dioicopoa"
"Poa sect. Homalopoa"
"Poa sect. Madropoa"
"Poa sect. Micrantherae"
"Poa sect. Oreinos"
"Poa sect. Pandemos"
"Poa sect. Poa"
"Poa sect. Secundae"
"Poa sect. Stenopoa"
"Poa sect. Sylvestres"
"Poa sect. Tichopoa"
"Poa subg. Arctopoa"
"Poa subg. Poa"
"Poa sublanata"
"Poa subsect. Epiles"
"Poa subsect. Halophytae"
"Poa subsect. Madropoa"
"Poa subsect. Poa"
"Poa subsect. Secundae"
"Poa supina"
"Poa ×gaspensis"
"Pogonatum dentatum"
"Pogonatum urnigerum"
"Pohlia andalusica"
"Pohlia annotina"
"Pohlia atropurpurea"
"Pohlia bulbifera"
"Pohlia cruda"
"Pohlia drummondii"
"Pohlia elongata"
"Pohlia lescuriana"
"Pohlia longicolla"
"Pohlia nutans"
"Pohlia obtusifolia"
"Pohlia proligera"
"Pohlia wahlenbergii"
"Polygonum aviculare"
"Polygonum aviculare subsp. buxiforme"
"Polygonum aviculare subsp. depressum"
"Polygonum fowleri subsp. fowleri"
"Polygonum fowleri subsp. hudsonianum"
"Polytrichastrum longisetum"
"Polytrichastrum pallidisetum"
"Polytrichastrum sexangulare var. sexangulare"
"Polytrichum commune var. commune"
"Polytrichum juniperinum"
"Polytrichum piliferum"
"Polytrichum strictum"
"Potamogeton alpinus"
"Potamogeton confervoides"
"Potamogeton epihydrus"
"Potamogeton gramineus"
"Potamogeton oakesianus"
"Potamogeton perfoliatus"
"Potamogeton pusillus subsp. tenuissimus"
"Potentilla anglica"
"Potentilla anserina"
"Potentilla anserina subsp. anserina"
"Potentilla anserina subsp. pacifica"
"Potentilla crantzii"
"Potentilla glaucophylla"
"Potentilla hyparctica"
"Potentilla nivea"
"Potentilla norvegica"
"Potentilla pulchella"
"Prenanthes trifoliolata"
"Primula egaliksensis"
"Primula laurentiana"
"Primula mistassinica"
"Primula stricta"
"Prunus pensylvanica"
"Pseudobryum cinclidioides"
"Pseudocalliergon trifarium"
"Pseudocalliergon turgescens"
"Pseudocampylium radicale"
"Pseudoleskea incurvata var. incurvata"
"Pseudoleskea patens"
"Pseudoleskea radicosa var. compacta"
"Pseudoleskea radicosa var. radicosa"
"Pseudoleskea stenophylla"
"Pseudoleskeella rupestris"
"Pseudoleskeella tectorum"
"Pseudotaxiphyllum elegans"
"Pterigynandrum filiforme"
"Ptilium crista-castrensis"
"Ptychostomum acutiforme"
"Ptychostomum arcticum"
"Ptychostomum bimum"
"Ptychostomum cernuum"
"Ptychostomum creberrimum"
"Ptychostomum cyclophyllum"
"Ptychostomum inclinatum"
"Ptychostomum knowltonii"
"Ptychostomum longisetum"
"Ptychostomum neodamense"
"Ptychostomum pallens"
"Ptychostomum pallescens"
"Ptychostomum pendulum"
"Ptychostomum pseudotriquetrum"
"Ptychostomum salinum"
"Ptychostomum turbinatum"
"Ptychostomum weigelii"
"Puccinellia"
"Puccinellia distans"
"Puccinellia nutkaensis"
