"Taxon Name", "Match", "Number of Matches", "Matches"
"Alyssum Murale", "yes", "10", "Alyssum Linnaeus, Phlox alyssifolia Greene, Odontarrhena obovatum C.A. Meyer, Camelina alyssum (P. Miller) Thellung, Alyssum turkestanicum Regel & Schmalhausen, Berteroa incana (Linnaeus) de Candolle, Camelina alyssum (P. Miller) Thellung, Alyssum alyssoides (Linnaeus) Linnaeus, Odontarrhena muralis (Waldstein & Kitaibel) Endlicher, Lobularia maritima (Linnaeus) Desvaux"
"Amaranthus Albus", "yes", "1", "Amaranthus Adanson"
"Amaranthus Blitoides", "yes", "1", "Amaranthus Adanson"
"Amaranthus Californicus", "yes", "1", "Amaranthus Adanson"
"Amaranthus Powellii", "yes", "1", "Amaranthus Adanson"
"Amaranthus Retroflexus", "yes", "1", "Amaranthus Adanson"
"Amblyodon Dealbatus", "no", "0", "NA"
"Amblystegium Serpens", "no", "0", "NA"
"Ambrosia Acanthicarpa", "yes", "2", "Ambrosia Linnaeus, Ambrosia psilostachya de Candolle"
"Ambrosia Artemisiifolia", "yes", "2", "Ambrosia Linnaeus, Ambrosia psilostachya de Candolle"
"Ambrosia Psilostachya", "yes", "2", "Ambrosia Linnaeus, Ambrosia psilostachya de Candolle"
"Ambrosia Trifida", "yes", "2", "Ambrosia Linnaeus, Ambrosia psilostachya de Candolle"
"Amelanchier Alnifolia", "yes", "22", "Amelanchier Medikus, Amelanchier alnifolia (Nuttall) Nuttall ex M. Roemer, Amelanchier alnifolia (Nuttall) Nuttall ex M. Roemer var. alnifolia, Amelanchier alnifolia var. semiintegrifolia (Hooker) C.L. Hitchcock, Amelanchier arborea (F. Michaux) Fernald, Amelanchier humilis Wiegand, Amelanchier canadensis (Linnaeus) Medikus, Amelanchier bartramiana (Tausch) M. Roemer, Amelanchier ×quinti-martii Louis-Marie, Amelanchier cusickii Fernald, Amelanchier fernaldii Wiegand, Amelanchier gaspensis (Wiegand) Fernald & Weatherby, Amelanchier interior E.L. Nielsen, Amelanchier lamarckii F.G. Schroeder, Amelanchier nantucketensis E.P. Bicknell, Amelanchier canadensis (Linnaeus) Medikus var. canadensis, Amelanchier spicata (Lamarck) K. Koch, Amelanchier laevis Wiegand, Amelanchier amabilis Wiegand, Amelanchier intermedia Spach, Amelanchier alnifolia var. pumila (Torrey & A. Gray) A. Nelson, Amelanchier sanguinea (Pursh) de Candolle"
"Amelanchier Alnifolia Var. Alnifolia", "yes", "22", "Amelanchier Medikus, Amelanchier alnifolia (Nuttall) Nuttall ex M. Roemer, Amelanchier alnifolia (Nuttall) Nuttall ex M. Roemer var. alnifolia, Amelanchier alnifolia var. semiintegrifolia (Hooker) C.L. Hitchcock, Amelanchier arborea (F. Michaux) Fernald, Amelanchier humilis Wiegand, Amelanchier canadensis (Linnaeus) Medikus, Amelanchier bartramiana (Tausch) M. Roemer, Amelanchier ×quinti-martii Louis-Marie, Amelanchier cusickii Fernald, Amelanchier fernaldii Wiegand, Amelanchier gaspensis (Wiegand) Fernald & Weatherby, Amelanchier interior E.L. Nielsen, Amelanchier lamarckii F.G. Schroeder, Amelanchier nantucketensis E.P. Bicknell, Amelanchier canadensis (Linnaeus) Medikus var. canadensis, Amelanchier spicata (Lamarck) K. Koch, Amelanchier laevis Wiegand, Amelanchier amabilis Wiegand, Amelanchier intermedia Spach, Amelanchier alnifolia var. pumila (Torrey & A. Gray) A. Nelson, Amelanchier sanguinea (Pursh) de Candolle"
"Amerorchis Rotundifolia", "yes", "1", "Galearis rotundifolia (Banks ex Pursh) R.M. Bateman"
"Amphidium Lapponicum", "no", "0", "NA"
"Amphiscirpus Nevadensis", "yes", "1", "Amphiscirpus Oteng-Yeboah"
"Anagallis Minima", "no", "0", "NA"
"Anaphalis Margaritacea", "yes", "1", "Anaphalis de Candolle"
"Andreaea Rupestris", "no", "0", "NA"
"Andromeda Polifolia", "yes", "1", "Andromeda Linnaeus"
"Andromeda Polifolia Var. Polifolia", "yes", "1", "Andromeda Linnaeus"
"Androsace Chamaejasme", "yes", "7", "Androsace Linnaeus, Eriogonum androsaceum Bentham, Androsace chamaejasme subsp. lehmanniana (Sprengel) Hultén, Androsace chamaejasme Wulfén ex Host, Androsace septentrionalis Linnaeus, Androsace filiformis Retzius, Androsace occidentalis Pursh"
"Androsace Chamaejasme Subsp. Lehmanniana", "yes", "7", "Androsace Linnaeus, Eriogonum androsaceum Bentham, Androsace chamaejasme subsp. lehmanniana (Sprengel) Hultén, Androsace chamaejasme Wulfén ex Host, Androsace septentrionalis Linnaeus, Androsace filiformis Retzius, Androsace occidentalis Pursh"
"Androsace Occidentalis", "yes", "7", "Androsace Linnaeus, Eriogonum androsaceum Bentham, Androsace chamaejasme subsp. lehmanniana (Sprengel) Hultén, Androsace chamaejasme Wulfén ex Host, Androsace septentrionalis Linnaeus, Androsace filiformis Retzius, Androsace occidentalis Pursh"
"Androsace Septentrionalis", "yes", "7", "Androsace Linnaeus, Eriogonum androsaceum Bentham, Androsace chamaejasme subsp. lehmanniana (Sprengel) Hultén, Androsace chamaejasme Wulfén ex Host, Androsace septentrionalis Linnaeus, Androsace filiformis Retzius, Androsace occidentalis Pursh"
