"Taxon Name", "Match", "Number of Matches", "Matches"
"Carex Ormostachya", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Pallescens", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Panicea", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Plantaginea", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Platyphylla", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Salina", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Scabrata", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Scoparia Var. Tessellata", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Silicea", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Stricta", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Swanii", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Tincta", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Tribuloides", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Tribuloides Var. Tribuloides", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
